store_id,bucket_key,display_share_pct,revenue_rate,style_slots,expected_rev_index,signal
2031,CASUAL SHIRTS | Mid,45,308576.98,198,13885964.2,INCREASE
8194,CHINOS | Premium,2,345106.06,9,690212.12,HOLD
8194,CHINOS | Mid,1,112915.18,4,112915.18,REDUCE
8194,CASUAL SHIRTS | Economy,1,53781.25,4,53781.25,REDUCE
8194,FORMAL SHIRTS | Economy,1,107295.6,4,107295.6,REDUCE
8194,FORMAL SHIRTS | Mid,1,201101.12,4,201101.12,REDUCE
8194,POLO TSHIRTS | Economy,1,63230.51,4,63230.51,REDUCE
8194,POLO TSHIRTS | Mid,1,234384.62,4,234384.62,REDUCE
8194,TROUSERS | Mid,1,262335.4,4,262335.4,REDUCE
8194,TROUSERS | Premium,1,204491.69,4,204491.69,REDUCE
8211,CASUAL SHIRTS | Mid,45,308576.98,208,13885964.2,INCREASE
8211,FORMAL SHIRTS | Premium,45,358140.64,208,16116328.81,INCREASE
8211,CHINOS | Premium,3,242657.82,13,727973.47,HOLD
8211,CASUAL SHIRTS | Economy,1,73949.77,4,73949.77,REDUCE
8211,CHINOS | Mid,1,121034.09,4,121034.09,REDUCE
8211,FORMAL SHIRTS | Mid,1,215003.92,4,215003.92,REDUCE
8211,POLO TSHIRTS | Economy,1,97833.96,4,97833.96,REDUCE
8211,POLO TSHIRTS | Mid,1,189829.48,4,189829.48,REDUCE
8211,TROUSERS | Economy,1,32100.0,4,32100.0,REDUCE
8211,TROUSERS | Mid,1,194230.76,4,194230.76,REDUCE
8219,CASUAL SHIRTS | Mid,45,308576.98,155,13885964.2,INCREASE
8219,FORMAL SHIRTS | Premium,45,358140.64,155,16116328.81,INCREASE
8219,CHINOS | Premium,3,242657.82,10,727973.47,HOLD
8219,CHINOS | Mid,1,121034.09,3,121034.09,REDUCE
8219,FORMAL SHIRTS | Mid,1,215003.92,3,215003.92,REDUCE
8219,POLO TSHIRTS | Economy,1,97833.96,3,97833.96,REDUCE
8219,POLO TSHIRTS | Mid,1,189829.48,3,189829.48,REDUCE
8219,TROUSERS | Economy,1,32100.0,3,32100.0,REDUCE
8219,TROUSERS | Mid,1,194230.76,3,194230.76,REDUCE
8219,TROUSERS | Premium,1,204491.69,3,204491.69,REDUCE
8242,CASUAL SHIRTS | Mid,45,308576.98,205,13885964.2,INCREASE
8242,FORMAL SHIRTS | Premium,45,358140.64,205,16116328.81,INCREASE
8242,CHINOS | Premium,2,242657.82,9,485315.64,HOLD
8242,CHINOS | Mid,1,121034.09,4,121034.09,REDUCE
8242,CASUAL SHIRTS | Economy,1,73949.77,4,73949.77,REDUCE
8242,FORMAL SHIRTS | Economy,1,67030.03,4,67030.03,REDUCE
8242,FORMAL SHIRTS | Mid,1,215003.92,4,215003.92,REDUCE
8242,POLO TSHIRTS | Economy,1,97833.96,4,97833.96,REDUCE
8242,POLO TSHIRTS | Mid,1,189829.48,4,189829.48,REDUCE
8242,TROUSERS | Mid,1,194230.76,4,194230.76,REDUCE
8242,TROUSERS | Premium,1,204491.69,4,204491.69,REDUCE
8254,CASUAL SHIRTS | Mid,45,265869.96,189,11964147.98,INCREASE
8254,FORMAL SHIRTS | Premium,45,415985.74,189,18719358.29,INCREASE
8254,TROUSERS | Premium,3,204491.69,12,613475.08,HOLD
8254,CASUAL SHIRTS | Economy,1,102506.02,4,102506.02,REDUCE
8254,CHINOS | Mid,1,102518.52,4,102518.52,REDUCE
8254,CHINOS | Premium,1,195316.46,4,195316.46,REDUCE
8254,FORMAL SHIRTS | Mid,1,182057.88,4,182057.88,REDUCE
8254,FORMAL SHIRTS | Economy,1,48731.03,4,48731.03,REDUCE
8254,POLO TSHIRTS | Economy,1,97833.96,4,97833.96,REDUCE
8254,TROUSERS | Mid,1,194230.76,4,194230.76,REDUCE
