store_id,bucket_key,display_share_pct,floor_share,cap_share,revenue_rate,style_slots,expected_rev_index,signal
8171,FORMAL SHIRTS | Premium,25,8,25,186081.97,92,4652049.18,INCREASE
8242,FORMAL SHIRTS | Premium,28,9,28,209073.37,127,5854054.26,INCREASE
8242,CASUAL SHIRTS | Mid,21,7,21,152756.19,95,3207879.99,INCREASE
8242,CHINOS | Premium,20,7,20,147319.05,91,2946381.03,INCREASE
8242,TROUSERS | Premium,9,5,14,106872.13,41,961849.18,HOLD
8242,FORMAL SHIRTS | Mid,5,5,14,104272.33,22,521361.65,REDUCE
8242,TROUSERS | Mid,5,5,14,102228.99,22,511144.96,REDUCE
8242,POLO TSHIRTS | Mid,4,4,13,93546.73,18,374186.93,REDUCE
8242,CHINOS | Mid,3,3,10,73449.57,13,220348.71,REDUCE
8242,CASUAL SHIRTS | Economy,2,2,5,38700.89,9,77401.78,REDUCE
8242,POLO TSHIRTS | Economy,2,2,7,48803.57,9,97607.13,REDUCE
8242,FORMAL SHIRTS | Economy,1,1,4,33064.53,4,33064.53,REDUCE
